date;revenue
01.01.2010;7624
01.02.2010;7089
01.03.2010;9347
01.04.2010;12138
01.05.2010;11819
01.06.2010;13851
01.07.2010;18320
01.08.2010;21234
01.09.2010;24351
01.10.2010;29326
01.11.2010;33159
01.12.2010;29545
01.01.2011;32110
01.02.2011;38707
01.03.2011;37808
01.04.2011;37624
01.05.2011;37349
01.06.2011;37447
01.07.2011;38138
01.08.2011;38819
01.09.2011;36851
01.10.2011;36520
01.11.2011;31234
01.12.2011;34351
01.01.2012;34426
01.02.2012;33259
01.03.2012;37545
01.04.2012;38910
01.05.2012;38707
01.06.2012;42764
01.07.2012;43545
01.08.2012;45110
01.09.2012;45308
01.10.2012;47808
01.11.2012;47833
